Segement_Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,ProductID,Category,Manufacturing Price
Channel Partners-Canada,Carretera,Low,1445.0,$12.,"$17,340.",173.4,"$17,166.6","$4,335.","$12,831.6",9/1/2014,9,1,Accessories, $3.00 
Enterprise-Canada,Carretera,Low,742.5,$125.,"$92,812.5",1856.25,"$90,956.25","$89,100.","$1,856.25",4/1/2014,4,1,Accessories, $3.00 
Channel Partners-Canada,Carretera,Low,1295.0,$12.,"$15,540.",310.8,"$15,229.2","$3,885.","$11,344.2",10/1/2014,10,1,Accessories, $3.00 
Channel Partners-Canada,Carretera,Low,908.0,$12.,"$10,896.",326.88,"$10,569.12","$2,724.","$7,845.12",12/1/2013,12,1,Accessories, $3.00 
Midmarket-Canada,Carretera,Medium,2844.0,$15.,"$42,660.",2559.6,"$40,100.4","$28,440.","$11,660.4",6/1/2014,6,1,Accessories, $3.00 
Channel Partners-Canada,Carretera,Medium,2299.0,$12.,"$27,588.",1655.28,"$25,932.72","$6,897.","$19,035.72",10/1/2013,10,1,Accessories, $3.00 
Channel Partners-Canada,Carretera,Medium,1884.0,$12.,"$22,608.",1582.56,"$21,025.44","$5,652.","$15,373.44",8/1/2014,8,1,Accessories, $3.00 
Small Business-Canada,Carretera,Medium,1094.0,$300.,"$328,200.",29538.0,"$298,662.","$273,500.","$25,162.",6/1/2014,6,1,Accessories, $3.00 
Channel Partners-Canada,Carretera,High,1937.0,$12.,"$23,244.",2556.84,"$20,687.16","$5,811.","$14,876.16",2/1/2014,2,1,Accessories, $3.00 
Midmarket-Canada,Carretera,High,1560.0,$15.,"$23,400.",2574.0,"$20,826.","$15,600.","$5,226.",11/1/2013,11,1,Accessories, $3.00 
Enterprise-Canada,Carretera,High,2416.0,$125.,"$302,000.",36240.0,"$265,760.","$289,920.","($24,160.)",9/1/2013,9,1,Accessories, $3.00 
Midmarket-Canada,Carretera,High,2689.0,$15.,"$40,335.",4840.2,"$35,494.8","$26,890.","$8,604.8",11/1/2014,11,1,Accessories, $3.00 
Small Business-Canada,Carretera,High,1496.0,$300.,"$448,800.",62832.0,"$385,968.","$374,000.","$11,968.",10/1/2014,10,1,Accessories, $3.00 
Midmarket-Canada,Carretera,High,2300.0,$15.,"$34,500.",4830.0,"$29,670.","$23,000.","$6,670.",12/1/2014,12,1,Accessories, $3.00 
Government-Germany,Montana,Low,1797.0,$350.,"$628,950.",18868.5,"$610,081.5","$467,220.","$142,861.5",9/1/2013,9,2,Accessories, $5.00 
Government-France,Montana,Medium,1384.5,$350.,"$484,575.",24228.75,"$460,346.25","$359,970.","$100,376.25",1/1/2014,1,2,Accessories, $5.00 
Government-Mexico,Montana,Medium,720.0,$350.,"$252,000.",12600.0,"$239,400.","$187,200.","$52,200.",9/1/2013,9,2,Accessories, $5.00 
Government-Mexico,Montana,Medium,980.0,$350.,"$343,000.",20580.0,"$322,420.","$254,800.","$67,620.",4/1/2014,4,2,Accessories, $5.00 
Government-Germany,Montana,Medium,1460.0,$350.,"$511,000.",30660.0,"$480,340.","$379,600.","$100,740.",5/1/2014,5,2,Accessories, $5.00 
Government-France,Montana,Medium,1666.0,$350.,"$583,100.",52479.0,"$530,621.","$433,160.","$97,461.",5/1/2014,5,2,Accessories, $5.00 
Government-USA,Montana,High,2313.0,$350.,"$809,550.",80955.0,"$728,595.","$601,380.","$127,215.",5/1/2014,5,2,Accessories, $5.00 
Government-Germany,Montana,High,766.0,$350.,"$268,100.",29491.0,"$238,609.","$199,160.","$39,449.",1/1/2014,1,2,Accessories, $5.00 
Government-USA,Montana,High,982.5,$350.,"$343,875.",44703.75,"$299,171.25","$255,450.","$43,721.25",1/1/2014,1,2,Accessories, $5.00 
Government-Germany,Montana,High,1199.0,$350.,"$419,650.",58751.0,"$360,899.","$311,740.","$49,159.",4/1/2014,4,2,Accessories, $5.00 
Government-France,Montana,,1899.0,$20.,"$37,980.",0.0,"$37,980.","$18,990.","$18,990.",6/1/2014,6,2,Accessories, $5.00 
Government-France,Montana,Low,1375.5,$20.,"$27,510.",275.1,"$27,234.9","$13,755.","$13,479.9",7/1/2014,7,2,Accessories, $5.00 
Government-USA,Montana,Low,1566.0,$20.,"$31,320.",626.4,"$30,693.6","$15,660.","$15,033.6",10/1/2014,10,2,Accessories, $5.00 
Government-France,Montana,Medium,1757.0,$20.,"$35,140.",2108.4,"$33,031.6","$17,570.","$15,461.6",10/1/2013,10,2,Accessories, $5.00 
Government-France,Montana,Medium,1976.0,$20.,"$39,520.",2766.4,"$36,753.6","$19,760.","$16,993.6",10/1/2014,10,2,Accessories, $5.00 
Government-USA,Montana,Medium,1282.0,$20.,"$25,640.",2051.2,"$23,588.8","$12,820.","$10,768.8",6/1/2014,6,2,Accessories, $5.00 
Government-Germany,Montana,Medium,645.0,$20.,"$12,900.",1032.0,"$11,868.","$6,450.","$5,418.",7/1/2014,7,2,Accessories, $5.00 
Government-Germany,Montana,High,2992.0,$20.,"$59,840.",6582.4,"$53,257.6","$29,920.","$23,337.6",10/1/2013,10,2,Accessories, $5.00 
Government-Mexico,Montana,High,1715.0,$20.,"$34,300.",4116.0,"$30,184.","$17,150.","$13,034.",10/1/2013,10,2,Accessories, $5.00 
Government-Mexico,Montana,High,2255.0,$20.,"$45,100.",5863.0,"$39,237.","$22,550.","$16,687.",7/1/2014,7,2,Accessories, $5.00 
Government-Germany,Montana,,2146.0,$7.,"$15,022.",0.0,"$15,022.","$10,730.","$4,292.",9/1/2014,9,2,Accessories, $5.00 
Government-Germany,Montana,Low,1958.0,$7.,"$13,706.",411.18,"$13,294.82","$9,790.","$3,504.82",2/1/2014,2,2,Accessories, $5.00 
Government-France,Montana,Low,544.0,$7.,"$3,808.",114.24,"$3,693.76","$2,720.",$973.76,9/1/2014,9,2,Accessories, $5.00 
Government-Germany,Montana,Medium,1159.0,$7.,"$8,113.",405.65,"$7,707.35","$5,795.","$1,912.35",10/1/2013,10,2,Accessories, $5.00 
Government-France,Montana,Medium,1403.0,$7.,"$9,821.",589.26,"$9,231.74","$7,015.","$2,216.74",10/1/2013,10,2,Accessories, $5.00 
Government-USA,Montana,High,2328.0,$7.,"$16,296.",1629.6,"$14,666.4","$11,640.","$3,026.4",9/1/2014,9,2,Accessories, $5.00 
Government-Mexico,Montana,High,2420.0,$7.,"$16,940.",2032.8,"$14,907.2","$12,100.","$2,807.2",9/1/2014,9,2,Accessories, $5.00 
Government-USA,Montana,High,1298.0,$7.,"$9,086.",1181.18,"$7,904.82","$6,490.","$1,414.82",2/1/2014,2,2,Accessories, $5.00 
Government-France,Montana,High,293.0,$7.,"$2,051.",287.14,"$1,763.86","$1,465.",$298.86,2/1/2014,2,2,Accessories, $5.00 
Government-USA,Montana,High,2996.0,$7.,"$20,972.",2936.08,"$18,035.92","$14,980.","$3,055.92",10/1/2013,10,2,Accessories, $5.00 
Government-Mexico,Montana,High,1727.0,$7.,"$12,089.",1692.46,"$10,396.54","$8,635.","$1,761.54",10/1/2013,10,2,Accessories, $5.00 
Government-Mexico,Montana,High,1368.0,$7.,"$9,576.",1436.4,"$8,139.6","$6,840.","$1,299.6",2/1/2014,2,2,Accessories, $5.00 
Midmarket-Germany,Montana,,921.0,$15.,"$13,815.",0.0,"$13,815.","$9,210.","$4,605.",3/1/2014,3,2,Accessories, $5.00 
Channel Partners-Germany,Montana,,1545.0,$12.,"$18,540.",0.0,"$18,540.","$4,635.","$13,905.",6/1/2014,6,2,Accessories, $5.00 
Midmarket-Mexico,Montana,,2470.0,$15.,"$37,050.",0.0,"$37,050.","$24,700.","$12,350.",6/1/2014,6,2,Accessories, $5.00 
Small Business-Mexico,Montana,,958.0,$300.,"$287,400.",0.0,"$287,400.","$239,500.","$47,900.",8/1/2014,8,2,Accessories, $5.00 
Midmarket-USA,Montana,,615.0,$15.,"$9,225.",0.0,"$9,225.","$6,150.","$3,075.",12/1/2014,12,2,Accessories, $5.00 
Midmarket-Mexico,Montana,Low,2214.0,$15.,"$33,210.",332.1,"$32,877.9","$22,140.","$10,737.9",3/1/2014,3,2,Accessories, $5.00 
Small Business-USA,Montana,Low,2301.0,$300.,"$690,300.",6903.0,"$683,397.","$575,250.","$108,147.",4/1/2014,4,2,Accessories, $5.00 
Small Business-USA,Montana,Low,2498.0,$300.,"$749,400.",7494.0,"$741,906.","$624,500.","$117,406.",9/1/2013,9,2,Accessories, $5.00 
Enterprise-USA,Montana,Low,663.0,$125.,"$82,875.",828.75,"$82,046.25","$79,560.","$2,486.25",10/1/2013,10,2,Accessories, $5.00 
Channel Partners-USA,Montana,Low,1142.0,$12.,"$13,704.",274.08,"$13,429.92","$3,426.","$10,003.92",6/1/2014,6,2,Accessories, $5.00 
Channel Partners-Mexico,Montana,Low,690.0,$12.,"$8,280.",165.6,"$8,114.4","$2,070.","$6,044.4",11/1/2014,11,2,Accessories, $5.00 
Enterprise-Mexico,Montana,Low,1660.0,$125.,"$207,500.",4150.0,"$203,350.","$199,200.","$4,150.",11/1/2013,11,2,Accessories, $5.00 
Channel Partners-France,Montana,Low,1901.0,$12.,"$22,812.",684.36,"$22,127.64","$5,703.","$16,424.64",6/1/2014,6,2,Accessories, $5.00 
Enterprise-France,Montana,Low,1287.0,$125.,"$160,875.",4826.25,"$156,048.75","$154,440.","$1,608.75",12/1/2014,12,2,Accessories, $5.00 
Enterprise-Germany,Montana,Low,1706.0,$125.,"$213,250.",6397.5,"$206,852.5","$204,720.","$2,132.5",12/1/2014,12,2,Accessories, $5.00 
Midmarket-Mexico,Montana,Low,2031.0,$15.,"$30,465.",1218.6,"$29,246.4","$20,310.","$8,936.4",10/1/2014,10,2,Accessories, $5.00 
Small Business-Germany,Montana,Low,1859.0,$300.,"$557,700.",22308.0,"$535,392.","$464,750.","$70,642.",8/1/2014,8,2,Accessories, $5.00 
Small Business-Germany,Montana,Low,2021.0,$300.,"$606,300.",24252.0,"$582,048.","$505,250.","$76,798.",10/1/2014,10,2,Accessories, $5.00 
Enterprise-Mexico,Montana,Low,1138.0,$125.,"$142,250.",5690.0,"$136,560.","$136,560.",$0.,12/1/2014,12,2,Accessories, $5.00 
Enterprise-USA,Montana,Medium,3627.0,$125.,"$453,375.",22668.75,"$430,706.25","$435,240.","($4,533.75)",7/1/2014,7,2,Accessories, $5.00 
Channel Partners-Germany,Montana,Medium,2342.0,$12.,"$28,104.",1405.2,"$26,698.8","$7,026.","$19,672.8",11/1/2014,11,2,Accessories, $5.00 
Small Business-Mexico,Montana,Medium,1100.0,$300.,"$330,000.",16500.0,"$313,500.","$275,000.","$38,500.",12/1/2013,12,2,Accessories, $5.00 
Channel Partners-USA,Montana,Medium,2723.0,$12.,"$32,676.",1960.56,"$30,715.44","$8,169.","$22,546.44",11/1/2014,11,2,Accessories, $5.00 
Channel Partners-Mexico,Montana,Medium,2340.0,$12.,"$28,080.",1965.6,"$26,114.4","$7,020.","$19,094.4",1/1/2014,1,2,Accessories, $5.00 
Channel Partners-France,Montana,Medium,2342.0,$12.,"$28,104.",1967.28,"$26,136.72","$7,026.","$19,110.72",11/1/2014,11,2,Accessories, $5.00 
Small Business-France,Montana,Medium,2181.0,$300.,"$654,300.",45801.0,"$608,499.","$545,250.","$63,249.",10/1/2014,10,2,Accessories, $5.00 
Enterprise-Germany,Montana,Medium,2500.0,$125.,"$312,500.",21875.0,"$290,625.","$300,000.","($9,375.)",11/1/2013,11,2,Accessories, $5.00 
Midmarket-France,Montana,Medium,2501.0,$15.,"$37,515.",3001.2,"$34,513.8","$25,010.","$9,503.8",3/1/2014,3,2,Accessories, $5.00 
Small Business-France,Montana,Medium,1562.0,$300.,"$468,600.",37488.0,"$431,112.","$390,500.","$40,612.",8/1/2014,8,2,Accessories, $5.00 
Midmarket-Germany,Montana,Medium,711.0,$15.,"$10,665.",853.2,"$9,811.8","$7,110.","$2,701.8",12/1/2014,12,2,Accessories, $5.00 
Small Business-France,Montana,Medium,322.0,$300.,"$96,600.",8694.0,"$87,906.","$80,500.","$7,406.",9/1/2013,9,2,Accessories, $5.00 
Enterprise-France,Montana,Medium,1857.0,$125.,"$232,125.",20891.25,"$211,233.75","$222,840.","($11,606.25)",11/1/2013,11,2,Accessories, $5.00 
Enterprise-USA,Montana,Medium,2797.0,$125.,"$349,625.",31466.25,"$318,158.75","$335,640.","($17,481.25)",12/1/2014,12,2,Accessories, $5.00 
Small Business-Germany,Montana,Medium,334.0,$300.,"$100,200.",9018.0,"$91,182.","$83,500.","$7,682.",12/1/2013,12,2,Accessories, $5.00 
Enterprise-USA,Montana,High,1804.0,$125.,"$225,500.",22550.0,"$202,950.","$216,480.","($13,530.)",11/1/2013,11,2,Accessories, $5.00 
Midmarket-France,Montana,High,2072.0,$15.,"$31,080.",3108.0,"$27,972.","$20,720.","$7,252.",12/1/2014,12,2,Accessories, $5.00 
Midmarket-Mexico,Montana,High,2157.0,$15.,"$32,355.",3559.05,"$28,795.95","$21,570.","$7,225.95",12/1/2014,12,2,Accessories, $5.00 
Midmarket-USA,Montana,High,677.0,$15.,"$10,155.",1218.6,"$8,936.4","$6,770.","$2,166.4",3/1/2014,3,2,Accessories, $5.00 
Small Business-France,Montana,High,1773.0,$300.,"$531,900.",63828.0,"$468,072.","$443,250.","$24,822.",4/1/2014,4,2,Accessories, $5.00 
Small Business-France,Montana,High,1186.0,$300.,"$355,800.",42696.0,"$313,104.","$296,500.","$16,604.",12/1/2013,12,2,Accessories, $5.00 
Government-Canada,Montana,High,2227.5,$350.,"$779,625.",109147.5,"$670,477.5","$579,150.","$91,327.5",1/1/2014,1,2,Accessories, $5.00 
Channel Partners-Mexico,Montana,High,2661.0,$12.,"$31,932.",3831.84,"$28,100.16","$7,983.","$20,117.16",5/1/2014,5,2,Accessories, $5.00 
Government-Canada,Montana,High,200.0,$350.,"$70,000.",9800.0,"$60,200.","$52,000.","$8,200.",5/1/2014,5,2,Accessories, $5.00 
Channel Partners-Mexico,Montana,High,604.0,$12.,"$7,248.",942.24,"$6,305.76","$1,812.","$4,493.76",6/1/2014,6,2,Accessories, $5.00 
Government-Canada,Montana,Medium,708.0,$20.,"$14,160.",1132.8,"$13,027.2","$7,080.","$5,947.2",6/1/2014,6,2,Accessories, $5.00 
Government-Canada,Montana,High,1249.0,$20.,"$24,980.",3247.4,"$21,732.6","$12,490.","$9,242.6",10/1/2014,10,2,Accessories, $5.00 
Government-Canada,Montana,Low,1830.0,$7.,"$12,810.",128.1,"$12,681.9","$9,150.","$3,531.9",8/1/2014,8,2,Accessories, $5.00 
Government-Canada,Montana,Low,2851.0,$7.,"$19,957.",798.28,"$19,158.72","$14,255.","$4,903.72",10/1/2013,10,2,Accessories, $5.00 
Government-Canada,Montana,Medium,488.0,$7.,"$3,416.",273.28,"$3,142.72","$2,440.",$702.72,2/1/2014,2,2,Accessories, $5.00 
Government-Canada,Montana,Medium,1611.0,$7.,"$11,277.",1014.93,"$10,262.07","$8,055.","$2,207.07",12/1/2013,12,2,Accessories, $5.00 
Government-Canada,Montana,High,2734.0,$7.,"$19,138.",2296.56,"$16,841.44","$13,670.","$3,171.44",10/1/2014,10,2,Accessories, $5.00 
Government-Canada,Montana,High,388.0,$7.,"$2,716.",380.24,"$2,335.76","$1,940.",$395.76,9/1/2014,9,2,Accessories, $5.00 
Channel Partners-Canada,Montana,,2518.0,$12.,"$30,216.",0.0,"$30,216.","$7,554.","$22,662.",6/1/2014,6,2,Accessories, $5.00 
Enterprise-Canada,Montana,,2665.5,$125.,"$333,187.5",0.0,"$333,187.5","$319,860.","$13,327.5",7/1/2014,7,2,Accessories, $5.00 
Enterprise-Canada,Montana,,345.0,$125.,"$43,125.",0.0,"$43,125.","$41,400.","$1,725.",10/1/2013,10,2,Accessories, $5.00 
Small Business-Mexico,Montana,High,546.0,$300.,"$163,800.",24570.0,"$139,230.","$136,500.","$2,730.",10/1/2014,10,2,Accessories, $5.00 
Midmarket-Canada,Montana,Low,1967.0,$15.,"$29,505.",1180.2,"$28,324.8","$19,670.","$8,654.8",3/1/2014,3,2,Accessories, $5.00 
Small Business-Canada,Montana,Medium,1283.0,$300.,"$384,900.",30792.0,"$354,108.","$320,750.","$33,358.",9/1/2013,9,2,Accessories, $5.00 
Small Business-Canada,Montana,Medium,3802.5,$300.,"$1,140,750.",102667.5,"$1,038,082.5","$950,625.","$87,457.5",4/1/2014,4,2,Accessories, $5.00 
Channel Partners-Canada,Montana,Medium,2321.0,$12.,"$27,852.",2506.68,"$25,345.32","$6,963.","$18,382.32",11/1/2014,11,2,Accessories, $5.00 
Midmarket-Canada,Montana,High,2300.0,$15.,"$34,500.",4830.0,"$29,670.","$23,000.","$6,670.",12/1/2014,12,2,Accessories, $5.00 
Government-Germany,Paseo,,1006.0,$350.,"$352,100.",0.0,"$352,100.","$261,560.","$90,540.",6/1/2014,6,3,Security, $10.00 
Government-Germany,Paseo,,1513.0,$350.,"$529,550.",0.0,"$529,550.","$393,380.","$136,170.",12/1/2014,12,3,Security, $10.00 
Government-France,Paseo,Low,2155.0,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",12/1/2014,12,3,Security, $10.00 
Government-USA,Paseo,Low,3450.0,$350.,"$1,207,500.",48300.0,"$1,159,200.","$897,000.","$262,200.",7/1/2014,7,3,Security, $10.00 
Government-USA,Paseo,Low,274.0,$350.,"$95,900.",3836.0,"$92,064.","$71,240.","$20,824.",12/1/2014,12,3,Security, $10.00 
Government-USA,Paseo,Medium,602.0,$350.,"$210,700.",10535.0,"$200,165.","$156,520.","$43,645.",6/1/2014,6,3,Security, $10.00 
Government-France,Paseo,Medium,1496.0,$350.,"$523,600.",31416.0,"$492,184.","$388,960.","$103,224.",6/1/2014,6,3,Security, $10.00 
Government-USA,Paseo,Medium,727.0,$350.,"$254,450.",15267.0,"$239,183.","$189,020.","$50,163.",10/1/2013,10,3,Security, $10.00 
Government-Germany,Paseo,Medium,2146.0,$350.,"$751,100.",60088.0,"$691,012.","$557,960.","$133,052.",11/1/2013,11,3,Security, $10.00 
Government-Mexico,Paseo,Medium,1362.0,$350.,"$476,700.",38136.0,"$438,564.","$354,120.","$84,444.",12/1/2014,12,3,Security, $10.00 
Government-Mexico,Paseo,Medium,2417.0,$350.,"$845,950.",76135.5,"$769,814.5","$628,420.","$141,394.5",1/1/2014,1,3,Security, $10.00 
Government-Mexico,Paseo,High,886.0,$350.,"$310,100.",37212.0,"$272,888.","$230,360.","$42,528.",6/1/2014,6,3,Security, $10.00 
Government-France,Paseo,High,1594.0,$350.,"$557,900.",66948.0,"$490,952.","$414,440.","$76,512.",11/1/2014,11,3,Security, $10.00 
Government-Mexico,Paseo,High,1197.0,$350.,"$418,950.",50274.0,"$368,676.","$311,220.","$57,456.",11/1/2014,11,3,Security, $10.00 
Government-Germany,Paseo,High,357.0,$350.,"$124,950.",16243.5,"$108,706.5","$92,820.","$15,886.5",11/1/2014,11,3,Security, $10.00 
Government-USA,Paseo,High,1177.0,$350.,"$411,950.",57673.0,"$354,277.","$306,020.","$48,257.",11/1/2014,11,3,Security, $10.00 
Government-France,Paseo,High,1922.0,$350.,"$672,700.",94178.0,"$578,522.","$499,720.","$78,802.",11/1/2013,11,3,Security, $10.00 
Government-Mexico,Paseo,High,2851.0,$350.,"$997,850.",149677.5,"$848,172.5","$741,260.","$106,912.5",5/1/2014,5,3,Security, $10.00 
Government-USA,Paseo,High,2007.0,$350.,"$702,450.",105367.5,"$597,082.5","$521,820.","$75,262.5",11/1/2013,11,3,Security, $10.00 
Government-Mexico,Paseo,High,2151.0,$350.,"$752,850.",112927.5,"$639,922.5","$559,260.","$80,662.5",11/1/2013,11,3,Security, $10.00 
Government-USA,Paseo,Low,1056.0,$20.,"$21,120.",844.8,"$20,275.2","$10,560.","$9,715.2",9/1/2014,9,3,Security, $10.00 
Government-France,Paseo,Medium,1303.0,$20.,"$26,060.",1303.0,"$24,757.","$13,030.","$11,727.",2/1/2014,2,3,Security, $10.00 
Government-USA,Paseo,Medium,2663.0,$20.,"$53,260.",2663.0,"$50,597.","$26,630.","$23,967.",12/1/2014,12,3,Security, $10.00 
Government-France,Paseo,Medium,1757.0,$20.,"$35,140.",2108.4,"$33,031.6","$17,570.","$15,461.6",10/1/2013,10,3,Security, $10.00 
Government-France,Paseo,Medium,1535.0,$20.,"$30,700.",2149.0,"$28,551.","$15,350.","$13,201.",9/1/2014,9,3,Security, $10.00 
Government-Germany,Paseo,Medium,1366.0,$20.,"$27,320.",2185.6,"$25,134.4","$13,660.","$11,474.4",6/1/2014,6,3,Security, $10.00 
Government-Germany,Paseo,Medium,1934.0,$20.,"$38,680.",3094.4,"$35,585.6","$19,340.","$16,245.6",9/1/2014,9,3,Security, $10.00 
Government-Mexico,Paseo,Medium,2993.0,$20.,"$59,860.",4788.8,"$55,071.2","$29,930.","$25,141.2",9/1/2014,9,3,Security, $10.00 
Government-USA,Paseo,Medium,973.0,$20.,"$19,460.",1751.4,"$17,708.6","$9,730.","$7,978.6",3/1/2014,3,3,Security, $10.00 
Government-Mexico,Paseo,Medium,1038.0,$20.,"$20,760.",1868.4,"$18,891.6","$10,380.","$8,511.6",6/1/2014,6,3,Security, $10.00 
Government-France,Paseo,High,1954.0,$20.,"$39,080.",3908.0,"$35,172.","$19,540.","$15,632.",3/1/2014,3,3,Security, $10.00 
Government-Germany,Paseo,High,241.0,$20.,"$4,820.",482.0,"$4,338.","$2,410.","$1,928.",10/1/2014,10,3,Security, $10.00 
Government-Mexico,Paseo,High,1122.0,$20.,"$22,440.",2468.4,"$19,971.6","$11,220.","$8,751.6",3/1/2014,3,3,Security, $10.00 
Government-Germany,Paseo,High,2992.0,$20.,"$59,840.",6582.4,"$53,257.6","$29,920.","$23,337.6",10/1/2013,10,3,Security, $10.00 
Government-Mexico,Paseo,High,905.0,$20.,"$18,100.",2172.0,"$15,928.","$9,050.","$6,878.",10/1/2014,10,3,Security, $10.00 
Government-Mexico,Paseo,High,1715.0,$20.,"$34,300.",4116.0,"$30,184.","$17,150.","$13,034.",10/1/2013,10,3,Security, $10.00 
Government-Mexico,Paseo,High,1233.0,$20.,"$24,660.",2959.2,"$21,700.8","$12,330.","$9,370.8",12/1/2014,12,3,Security, $10.00 
Government-Germany,Paseo,High,1531.0,$20.,"$30,620.",3674.4,"$26,945.6","$15,310.","$11,635.6",12/1/2014,12,3,Security, $10.00 
Government-USA,Paseo,High,2641.0,$20.,"$52,820.",6866.6,"$45,953.4","$26,410.","$19,543.4",2/1/2014,2,3,Security, $10.00 
Government-Germany,Paseo,High,2708.0,$20.,"$54,160.",7040.8,"$47,119.2","$27,080.","$20,039.2",2/1/2014,2,3,Security, $10.00 
Government-Mexico,Paseo,High,260.0,$20.,"$5,200.",728.0,"$4,472.","$2,600.","$1,872.",2/1/2014,2,3,Security, $10.00 
Government-Germany,Paseo,High,1158.0,$20.,"$23,160.",3474.0,"$19,686.","$11,580.","$8,106.",3/1/2014,3,3,Security, $10.00 
Government-USA,Paseo,High,267.0,$20.,"$5,340.",801.0,"$4,539.","$2,670.","$1,869.",10/1/2013,10,3,Security, $10.00 
Government-France,Paseo,High,293.0,$20.,"$5,860.",879.0,"$4,981.","$2,930.","$2,051.",12/1/2014,12,3,Security, $10.00 
Government-Mexico,Paseo,,883.0,$7.,"$6,181.",0.0,"$6,181.","$4,415.","$1,766.",8/1/2014,8,3,Security, $10.00 
Government-USA,Paseo,,1143.0,$7.,"$8,001.",0.0,"$8,001.","$5,715.","$2,286.",10/1/2014,10,3,Security, $10.00 
Government-France,Paseo,Low,3945.0,$7.,"$27,615.",276.15,"$27,338.85","$19,725.","$7,613.85",1/1/2014,1,3,Security, $10.00 
Government-France,Paseo,Low,1030.0,$7.,"$7,210.",72.1,"$7,137.9","$5,150.","$1,987.9",5/1/2014,5,3,Security, $10.00 
Government-USA,Paseo,Low,4492.5,$7.,"$31,447.5",314.475,"$31,133.025","$22,462.5","$8,670.525",4/1/2014,4,3,Security, $10.00 
Government-USA,Paseo,Low,2013.0,$7.,"$14,091.",281.82,"$13,809.18","$10,065.","$3,744.18",12/1/2013,12,3,Security, $10.00 
Government-Mexico,Paseo,Low,1760.0,$7.,"$12,320.",369.6,"$11,950.4","$8,800.","$3,150.4",9/1/2013,9,3,Security, $10.00 
Government-Germany,Paseo,Medium,1372.0,$7.,"$9,604.",480.2,"$9,123.8","$6,860.","$2,263.8",1/1/2014,1,3,Security, $10.00 
Government-Mexico,Paseo,Medium,2689.0,$7.,"$18,823.",941.15,"$17,881.85","$13,445.","$4,436.85",10/1/2014,10,3,Security, $10.00 
Government-USA,Paseo,Medium,2327.0,$7.,"$16,289.",814.45,"$15,474.55","$11,635.","$3,839.55",5/1/2014,5,3,Security, $10.00 
Government-France,Paseo,Medium,2136.0,$7.,"$14,952.",747.6,"$14,204.4","$10,680.","$3,524.4",12/1/2013,12,3,Security, $10.00 
Government-France,Paseo,Medium,1031.0,$7.,"$7,217.",505.19,"$6,711.81","$5,155.","$1,556.81",9/1/2013,9,3,Security, $10.00 
Government-Germany,Paseo,Medium,2125.0,$7.,"$14,875.",1041.25,"$13,833.75","$10,625.","$3,208.75",12/1/2013,12,3,Security, $10.00 
Government-Germany,Paseo,Medium,1259.0,$7.,"$8,813.",705.04,"$8,107.96","$6,295.","$1,812.96",4/1/2014,4,3,Security, $10.00 
Government-Germany,Paseo,Medium,1095.0,$7.,"$7,665.",613.2,"$7,051.8","$5,475.","$1,576.8",5/1/2014,5,3,Security, $10.00 
Government-USA,Paseo,Medium,678.0,$7.,"$4,746.",379.68,"$4,366.32","$3,390.",$976.32,8/1/2014,8,3,Security, $10.00 
Government-Germany,Paseo,Medium,1598.0,$7.,"$11,186.",894.88,"$10,291.12","$7,990.","$2,301.12",8/1/2014,8,3,Security, $10.00 
Government-Germany,Paseo,Medium,2409.0,$7.,"$16,863.",1349.04,"$15,513.96","$12,045.","$3,468.96",9/1/2013,9,3,Security, $10.00 
Government-Mexico,Paseo,Medium,1946.0,$7.,"$13,622.",1089.76,"$12,532.24","$9,730.","$2,802.24",12/1/2013,12,3,Security, $10.00 
Government-Germany,Paseo,Medium,360.0,$7.,"$2,520.",226.8,"$2,293.2","$1,800.",$493.2,10/1/2014,10,3,Security, $10.00 
Government-France,Paseo,High,2532.0,$7.,"$17,724.",1949.64,"$15,774.36","$12,660.","$3,114.36",4/1/2014,4,3,Security, $10.00 
Government-USA,Paseo,High,380.0,$7.,"$2,660.",292.6,"$2,367.4","$1,900.",$467.4,9/1/2013,9,3,Security, $10.00 
Government-USA,Paseo,High,1438.5,$7.,"$10,069.5",1309.035,"$8,760.465","$7,192.5","$1,567.965",1/1/2014,1,3,Security, $10.00 
Government-France,Paseo,High,2696.0,$7.,"$18,872.",2453.36,"$16,418.64","$13,480.","$2,938.64",8/1/2014,8,3,Security, $10.00 
Government-France,Paseo,High,1731.0,$7.,"$12,117.",1696.38,"$10,420.62","$8,655.","$1,765.62",10/1/2014,10,3,Security, $10.00 
Government-Mexico,Paseo,High,2535.0,$7.,"$17,745.",2661.75,"$15,083.25","$12,675.","$2,408.25",4/1/2014,4,3,Security, $10.00 
Government-Canada,Paseo,,1725.0,$350.,"$603,750.",0.0,"$603,750.","$448,500.","$155,250.",11/1/2013,11,3,Security, $10.00 
Government-Canada,Paseo,Low,2852.0,$350.,"$998,200.",19964.0,"$978,236.","$741,520.","$236,716.",12/1/2014,12,3,Security, $10.00 
Government-Canada,Paseo,Medium,1228.0,$350.,"$429,800.",21490.0,"$408,310.","$319,280.","$89,030.",10/1/2013,10,3,Security, $10.00 
Government-Canada,Paseo,High,2104.5,$350.,"$736,575.",81023.25,"$655,551.75","$547,170.","$108,381.75",7/1/2014,7,3,Security, $10.00 
